algo,stream_id,step,prefix_len,true_F0,estimate_N
baseline,0,0,10001,9079,8827.91
baseline,0,1,20001,16488,15968.6
baseline,0,2,30001,22492,21636.6
baseline,0,3,40001,27470,26089.8
baseline,0,4,50001,31501,30127.8
baseline,0,5,60001,34896,32296
baseline,0,6,70001,37660,35637
baseline,0,7,80001,39927,37469.3
baseline,0,8,90001,41752,39103.7
baseline,0,9,100001,43136,40049
baseline,0,10,110001,44372,41342.7
baseline,0,11,120001,45388,42748.4
baseline,0,12,130001,46216,44277.5
baseline,0,13,140001,46926,44875.2
baseline,0,14,150001,47495,45370
baseline,0,15,160001,47927,45737.4
baseline,0,16,170001,48338,45945.2
baseline,0,17,180001,48613,46137
baseline,0,18,190001,48871,46202.4
baseline,0,19,200000,49063,46241.1
baseline,1,0,10001,9055,8448.32
baseline,1,1,20001,16510,16282.1
baseline,1,2,30001,22610,22240.5
baseline,1,3,40001,27576,27645
baseline,1,4,50001,31671,32008.9
baseline,1,5,60001,34997,34229.4
baseline,1,6,70001,37732,36438
baseline,1,7,80001,39903,39043.7
baseline,1,8,90001,41695,40070.9
baseline,1,9,100001,43179,40936
baseline,1,10,110001,44427,41968
baseline,1,11,120001,45457,42936.6
baseline,1,12,130001,46329,43418.5
baseline,1,13,140001,46989,44106.3
baseline,1,14,150001,47519,44516.2
baseline,1,15,160001,47971,45226
baseline,1,16,170001,48329,45660.7
baseline,1,17,180001,48622,46177.8
baseline,1,18,190001,48844,46288.3
baseline,1,19,200000,49054,46533.3
baseline,2,0,10001,9065,9109.42
baseline,2,1,20001,16513,16153
baseline,2,2,30001,22574,22161.1
baseline,2,3,40001,27558,26667.4
baseline,2,4,50001,31654,30310.9
baseline,2,5,60001,35009,33634.6
baseline,2,6,70001,37750,35944.9
baseline,2,7,80001,39974,37727.3
baseline,2,8,90001,41811,39700
baseline,2,9,100001,43241,41339.8
baseline,2,10,110001,44465,42479.2
baseline,2,11,120001,45479,43873.4
baseline,2,12,130001,46313,44611.8
baseline,2,13,140001,46948,45074.4
baseline,2,14,150001,47516,45537.4
baseline,2,15,160001,47975,45861.3
baseline,2,16,170001,48331,46399
baseline,2,17,180001,48634,46642.4
baseline,2,18,190001,48876,46840
baseline,2,19,200000,49073,46840
baseline,3,0,10001,9041,8430.07
baseline,3,1,20001,16372,15071.7
baseline,3,2,30001,22429,21091.4
baseline,3,3,40001,27384,25456.8
baseline,3,4,50001,31496,28973.9
baseline,3,5,60001,34853,32584.6
baseline,3,6,70001,37547,35307.8
baseline,3,7,80001,39801,37463.2
baseline,3,8,90001,41724,39053.6
baseline,3,9,100001,43224,40950.1
baseline,3,10,110001,44450,42434.8
baseline,3,11,120001,45448,43761.8
baseline,3,12,130001,46296,45120.9
baseline,3,13,140001,47003,45540.2
baseline,3,14,150001,47585,45995
baseline,3,15,160001,48035,46314.4
baseline,3,16,170001,48389,46601.7
baseline,3,17,180001,48704,46943.2
baseline,3,18,190001,48917,47391.7
baseline,3,19,200000,49119,47519.8
baseline,4,0,10001,9094,9052.94
baseline,4,1,20001,16467,16020.5
baseline,4,2,30001,22519,21625.7
baseline,4,3,40001,27516,27386.7
baseline,4,4,50001,31611,31882.7
baseline,4,5,60001,35011,35507.6
baseline,4,6,70001,37695,37774.8
baseline,4,7,80001,39873,39741.8
baseline,4,8,90001,41694,40997.4
baseline,4,9,100001,43165,42415.6
baseline,4,10,110001,44443,43728.2
baseline,4,11,120001,45418,44984.2
baseline,4,12,130001,46249,45773.3
baseline,4,13,140001,46946,46360.2
baseline,4,14,150001,47514,46752.4
baseline,4,15,160001,47963,47283.9
baseline,4,16,170001,48342,47542.5
baseline,4,17,180001,48660,48001.6
baseline,4,18,190001,48899,48132.9
baseline,4,19,200000,49094,48373.7
baseline,5,0,10001,9013,8490.06
baseline,5,1,20001,16437,15129.6
baseline,5,2,30001,22471,20853.1
baseline,5,3,40001,27436,25382.2
baseline,5,4,50001,31478,29062
baseline,5,5,60001,34761,32567.9
baseline,5,6,70001,37580,35122.7
baseline,5,7,80001,39907,38024.2
baseline,5,8,90001,41696,40094.3
baseline,5,9,100001,43200,41576.7
baseline,5,10,110001,44461,43051
baseline,5,11,120001,45436,43720
baseline,5,12,130001,46288,45017.4
baseline,5,13,140001,46953,45703.5
baseline,5,14,150001,47469,46553.3
baseline,5,15,160001,47947,46664.2
baseline,5,16,170001,48359,47153.3
baseline,5,17,180001,48651,47540.1
baseline,5,18,190001,48890,47608.9
baseline,5,19,200000,49113,47608.9
baseline,6,0,10001,9026,8562.36
baseline,6,1,20001,16447,15370.6
baseline,6,2,30001,22494,21290.4
baseline,6,3,40001,27477,25412.8
baseline,6,4,50001,31498,29482.9
baseline,6,5,60001,34842,33330.1
baseline,6,6,70001,37633,35307
baseline,6,7,80001,39826,36872.8
baseline,6,8,90001,41677,37910.8
baseline,6,9,100001,43150,39911.5
baseline,6,10,110001,44420,41366.9
baseline,6,11,120001,45395,42092.7
baseline,6,12,130001,46238,42774.6
