algo,stream_id,step,prefix_len,true_F0,estimate_N
packed,0,0,10001,9079,9055.2
packed,0,1,20001,16488,15728.3
packed,0,2,30001,22492,21489.6
packed,0,3,40001,27470,26066.8
packed,0,4,50001,31501,29970.8
packed,0,5,60001,34896,32576.5
packed,0,6,70001,37660,35242.3
packed,0,7,80001,39927,37271
packed,0,8,90001,41752,39054.2
packed,0,9,100001,43136,40490.3
packed,0,10,110001,44372,41775.1
packed,0,11,120001,45388,42729.4
packed,0,12,130001,46216,43657.8
packed,0,13,140001,46926,44196.5
packed,0,14,150001,47495,44574
packed,0,15,160001,47927,45038.1
packed,0,16,170001,48338,45472.2
packed,0,17,180001,48613,45677
packed,0,18,190001,48871,45957.5
packed,0,19,200000,49063,46133.4
packed,1,0,10001,9055,8929.44
packed,1,1,20001,16510,15917.8
packed,1,2,30001,22610,22160.4
packed,1,3,40001,27576,27233.6
packed,1,4,50001,31671,31071.7
packed,1,5,60001,34997,33977.3
packed,1,6,70001,37732,36775.6
packed,1,7,80001,39903,38903.2
packed,1,8,90001,41695,40464.4
packed,1,9,100001,43179,41756
packed,1,10,110001,44427,42806.9
packed,1,11,120001,45457,43664.8
packed,1,12,130001,46329,44589.6
packed,1,13,140001,46989,45124.9
packed,1,14,150001,47519,45482
packed,1,15,160001,47971,45994.6
packed,1,16,170001,48329,46557.6
packed,1,17,180001,48622,46917.1
packed,1,18,190001,48844,47034.7
packed,1,19,200000,49054,47209.6
packed,2,0,10001,9065,8722.44
packed,2,1,20001,16513,16214.1
packed,2,2,30001,22574,22078.1
packed,2,3,40001,27558,26775.4
packed,2,4,50001,31654,30708
packed,2,5,60001,35009,34207.2
packed,2,6,70001,37750,36911.6
packed,2,7,80001,39974,38823.3
packed,2,8,90001,41811,40915.9
packed,2,9,100001,43241,42423.9
packed,2,10,110001,44465,43588.4
packed,2,11,120001,45479,44847.7
packed,2,12,130001,46313,45589.1
packed,2,13,140001,46948,46425.6
packed,2,14,150001,47516,47095.2
packed,2,15,160001,47975,47594.1
packed,2,16,170001,48331,48005.1
packed,2,17,180001,48634,48312.2
packed,2,18,190001,48876,48411.8
packed,2,19,200000,49073,48517.4
packed,3,0,10001,9041,8764.71
packed,3,1,20001,16372,15622.5
packed,3,2,30001,22429,21414.5
packed,3,3,40001,27384,26164.2
packed,3,4,50001,31496,30354.5
packed,3,5,60001,34853,33565
packed,3,6,70001,37547,36073.3
packed,3,7,80001,39801,38627.1
packed,3,8,90001,41724,40097.1
packed,3,9,100001,43224,41513
packed,3,10,110001,44450,42521.5
packed,3,11,120001,45448,43663.9
packed,3,12,130001,46296,44762.6
packed,3,13,140001,47003,45104.2
packed,3,14,150001,47585,45687.7
packed,3,15,160001,48035,45956.5
packed,3,16,170001,48389,46300
packed,3,17,180001,48704,46587.2
packed,3,18,190001,48917,46842.9
packed,3,19,200000,49119,47094.5
packed,4,0,10001,9094,8850.58
packed,4,1,20001,16467,15894.7
packed,4,2,30001,22519,21827.7
packed,4,3,40001,27516,27006.5
packed,4,4,50001,31611,31270.8
packed,4,5,60001,35011,34715.7
packed,4,6,70001,37695,37377.3
packed,4,7,80001,39873,39409
packed,4,8,90001,41694,41142.7
packed,4,9,100001,43165,42216.8
packed,4,10,110001,44443,43454.6
packed,4,11,120001,45418,44496.9
packed,4,12,130001,46249,45320.6
packed,4,13,140001,46946,45868.9
packed,4,14,150001,47514,46586.2
packed,4,15,160001,47963,46983.4
packed,4,16,170001,48342,47196.4
packed,4,17,180001,48660,47867.5
packed,4,18,190001,48899,47970.6
packed,4,19,200000,49094,48082.1
packed,5,0,10001,9013,9000.83
packed,5,1,20001,16437,15929.8
packed,5,2,30001,22471,21293.3
packed,5,3,40001,27436,26188.9
packed,5,4,50001,31478,30007.5
packed,5,5,60001,34761,33026.5
packed,5,6,70001,37580,35508
packed,5,7,80001,39907,37852.1
packed,5,8,90001,41696,39554.7
packed,5,9,100001,43200,40885.5
packed,5,10,110001,44461,42232.8
packed,5,11,120001,45436,43084
packed,5,12,130001,46288,43896.1
packed,5,13,140001,46953,44422.9
packed,5,14,150001,47469,44915
packed,5,15,160001,47947,45186.3
packed,5,16,170001,48359,45620.9
packed,5,17,180001,48651,45937.9
packed,5,18,190001,48890,46156.6
packed,5,19,200000,49113,46520.7
packed,6,0,10001,9026,8557.59
packed,6,1,20001,16447,15772.8
packed,6,2,30001,22494,21682.6
packed,6,3,40001,27477,26642.7
packed,6,4,50001,31498,30716
packed,6,5,60001,34842,34101.3
packed,6,6,70001,37633,36311.9
packed,6,7,80001,39826,38303.8
packed,6,8,90001,41677,40091
packed,6,9,100001,43150,41659
packed,6,10,110001,44420,43163.6
packed,6,11,120001,45395,44058.2
packed,6,12,130001,46238,44628.4
packed,6,13,140001,46916,45513.6
packed,6,14,150001,47466,46220.1
packed,6,15,160001,47918,46568.8
packed,6,16,170001,48300,47070.3
packed,6,17,180001,48601,47349.3
packed,6,18,190001,48870,47487.2
packed,6,19,200000,49092,47676.6
packed,7,0,10001,9048,8485.52
packed,7,1,20001,16490,16017.6
packed,7,2,30001,22591,22108.1
packed,7,3,40001,27560,27073.4
packed,7,4,50001,31702,30760.1
packed,7,5,60001,35005,33965
packed,7,6,70001,37730,36928.4
packed,7,7,80001,39999,39360
packed,7,8,90001,41837,41203.9
packed,7,9,100001,43263,42694.3
packed,7,10,110001,44459,43951.8
packed,7,11,120001,45466,44969.1
packed,7,12,130001,46338,45713.1
packed,7,13,140001,46968,46267.8
packed,7,14,150001,47504,46712.6
packed,7,15,160001,47962,47135.8
packed,7,16,170001,48334,47569.8
packed,7,17,180001,48641,47799.6
packed,7,18,190001,48902,47949.8
packed,7,19,200000,49102,48167.5
packed,8,0,10001,9050,8894.21
packed,8,1,20001,16368,16159.3
packed,8,2,30001,22451,22043
packed,8,3,40001,27421,27012.8
packed,8,4,50001,31582,30713
packed,8,5,60001,34971,33779.2
packed,8,6,70001,37727,36511.8
packed,8,7,80001,39987,38737.1
packed,8,8,90001,41767,40420.3
packed,8,9,100001,43248,41613.5
packed,8,10,110001,44486,42629.8
packed,8,11,120001,45468,43549.2
packed,8,12,130001,46318,44344.2
packed,8,13,140001,46987,44936.4
packed,8,14,150001,47517,45539
packed,8,15,160001,47971,45789.5
packed,8,16,170001,48321,46005.3
packed,8,17,180001,48616,46274
packed,8,18,190001,48862,46459.5
packed,8,19,200000,49071,46532.8
packed,9,0,10001,9078,8991.84
packed,9,1,20001,16473,15730.1
packed,9,2,30001,22533,21759.5
packed,9,3,40001,27552,26169.3
packed,9,4,50001,31578,29719.2
packed,9,5,60001,34821,32556.1
packed,9,6,70001,37541,35221.7
packed,9,7,80001,39815,37425.2
packed,9,8,90001,41677,39171.4
packed,9,9,100001,43210,40654.7
packed,9,10,110001,44444,41702.8
packed,9,11,120001,45421,42604.2
packed,9,12,130001,46268,43470.4
packed,9,13,140001,46938,44060.3
packed,9,14,150001,47516,44761.1
packed,9,15,160001,47972,45220.2
packed,9,16,170001,48319,45492.5
packed,9,17,180001,48602,45740.6
packed,9,18,190001,48835,46017.9
packed,9,19,200000,49040,46209.8
packed,10,0,10001,9044,8781.74
packed,10,1,20001,16503,16065.7
packed,10,2,30001,22583,21624.6
packed,10,3,40001,27617,26089.1
packed,10,4,50001,31595,29576.4
packed,10,5,60001,34973,32895.2
packed,10,6,70001,37695,35283.6
packed,10,7,80001,39980,37327.6
packed,10,8,90001,41772,38930.7
packed,10,9,100001,43225,40209.4
packed,10,10,110001,44473,41294.3
packed,10,11,120001,45485,42216.9
packed,10,12,130001,46316,43084.9
packed,10,13,140001,46989,43566.7
packed,10,14,150001,47579,44077.3
packed,10,15,160001,48036,44611.2
packed,10,16,170001,48387,44960.3
packed,10,17,180001,48712,45416.5
packed,10,18,190001,48934,45619.9
packed,10,19,200000,49144,45833.1
packed,11,0,10001,9057,8902.99
packed,11,1,20001,16454,16053.5
