algo,step,prefix_len,p,m,true_mean_F0,true_std_F0,est_mean_N,est_std_N,rel_err_mean
baseline,0,10001,14,16384,9060.37,23.015,8813.12,67.2537,-0.0272889
baseline,1,20001,14,16384,16475.8,53.9894,15941.6,122.772,-0.0324225
baseline,2,30001,14,16384,22532.3,58.3634,21778.6,209.005,-0.0334481
baseline,3,40001,14,16384,27514.8,71.2304,26585.3,241.271,-0.0337801
baseline,4,50001,14,16384,31584.4,81.6884,30478.5,265.791,-0.0350128
baseline,5,60001,14,16384,34919.2,92.7731,33695.4,323.833,-0.0350454
baseline,6,70001,14,16384,37645.9,76.6343,36275.5,314.373,-0.0364013
baseline,7,80001,14,16384,39896.8,79.806,38437.2,347.829,-0.0365843
baseline,8,90001,14,16384,41720.6,66.0844,41081.2,607.068,-0.0153261
baseline,9,100001,14,16384,43207.1,53.7989,42535.9,257.036,-0.0155351
baseline,10,110001,14,16384,44437.3,50.6885,43625.8,265.31,-0.018261
baseline,11,120001,14,16384,45448,50.5975,44539.2,256.823,-0.0199977
baseline,12,130001,14,16384,46275.4,45.8007,45273.7,277.733,-0.0216472
baseline,13,140001,14,16384,46952.3,34.3443,45870.7,280.099,-0.023037
baseline,14,150001,14,16384,47508.4,35.4736,46376.3,291.095,-0.0238297
baseline,15,160001,14,16384,47965.9,36.806,46793,298.391,-0.0244531
baseline,16,170001,14,16384,48337.2,29.2194,47134.2,307.146,-0.024889
baseline,17,180001,14,16384,48636,29.9615,47409.5,317.678,-0.0252191
baseline,18,190001,14,16384,48883,25.865,47623.8,308.418,-0.0257588
baseline,19,200000,14,16384,49087.1,27.3293,47806.9,295.984,-0.0260795
