dataset,size,algorithm,time_us,char_comparisons
random,100,quick_sort,28.6586,643
random,100,merge_sort,41.4168,590
random,100,string_quick_sort,18.95,547
random,100,string_merge_sort,109.017,503
random,100,msd_radix_sort,54.3916,358
random,100,msd_radix_sort_with_quick,13,254
random,200,quick_sort,78.8832,1782
random,200,merge_sort,96.5502,1476
random,200,string_quick_sort,46.8836,1376
random,200,string_merge_sort,221.017,1180
random,200,msd_radix_sort,107.692,804
random,200,msd_radix_sort_with_quick,26.7748,597
random,300,quick_sort,119.692,2951
random,300,merge_sort,150.267,2507
random,300,string_quick_sort,71.3418,2344
random,300,string_merge_sort,390.5,1910
random,300,msd_radix_sort,146.2,1250
random,300,msd_radix_sort_with_quick,49.2084,1022
random,400,quick_sort,168.758,4263
random,400,merge_sort,225.175,3637
random,400,string_quick_sort,93.05,3270
random,400,string_merge_sort,497.317,2700
random,400,msd_radix_sort,176.225,1662
random,400,msd_radix_sort_with_quick,59.9498,1493
random,500,quick_sort,220.408,5582
random,500,merge_sort,286,4840
random,500,string_quick_sort,121.275,4226
random,500,string_merge_sort,656.65,3491
random,500,msd_radix_sort,191.7,2084
random,500,msd_radix_sort_with_quick,76.0832,1990
random,600,quick_sort,300.058,7284
random,600,merge_sort,353.325,6133
random,600,string_quick_sort,154.008,5403
random,600,string_merge_sort,950.158,4346
random,600,msd_radix_sort,220.125,2524
random,600,msd_radix_sort_with_quick,95.8252,2515
random,700,quick_sort,365.5,9103
random,700,merge_sort,534.283,7456
random,700,string_quick_sort,240.567,5936
random,700,string_merge_sort,1131.73,5197
random,700,msd_radix_sort,307.809,2996
random,700,msd_radix_sort_with_quick,121.508,3114
random,800,quick_sort,443.767,10257
random,800,merge_sort,615.45,8794
random,800,string_quick_sort,250.658,8431
random,800,string_merge_sort,1238.78,6087
random,800,msd_radix_sort,330.608,3438
random,800,msd_radix_sort_with_quick,218.175,3705
random,900,quick_sort,504.308,12496
random,900,merge_sort,598.367,10213
random,900,string_quick_sort,231.45,8212
random,900,string_merge_sort,1153.58,6997
random,900,msd_radix_sort,314.225,3878
random,900,msd_radix_sort_with_quick,158.875,4330
random,1000,quick_sort,491.025,13174
random,1000,merge_sort,654.134,11615
random,1000,string_quick_sort,256.683,9167
random,1000,string_merge_sort,1317.5,7901
random,1000,msd_radix_sort,349.342,4334
random,1000,msd_radix_sort_with_quick,176.275,4953
random,1100,quick_sort,563.483,14994
random,1100,merge_sort,763.658,13113
random,1100,string_quick_sort,289.217,10361
random,1100,string_merge_sort,1464.63,8873
random,1100,msd_radix_sort,391.958,4810
random,1100,msd_radix_sort_with_quick,196.709,5620
random,1200,quick_sort,649.517,18067
random,1200,merge_sort,829.533,14562
random,1200,string_quick_sort,328.716,11918
random,1200,string_merge_sort,1615.32,9749
random,1200,msd_radix_sort,428.642,5296
random,1200,msd_radix_sort_with_quick,218.792,6209
random,1300,quick_sort,678.158,18927
random,1300,merge_sort,940.933,16101
random,1300,string_quick_sort,361.8,13113
random,1300,string_merge_sort,1768.96,10705
random,1300,msd_radix_sort,467.683,5768
random,1300,msd_radix_sort_with_quick,243.966,6993
random,1400,quick_sort,767.783,21363
random,1400,merge_sort,1007.9,17605
random,1400,string_quick_sort,379.592,13745
random,1400,string_merge_sort,1916.37,11622
random,1400,msd_radix_sort,510.825,6220
